abbreviation,alt_color,alt_name1,alt_name2,alt_name3,classification,color,conference,id,location_capacity,location_city,location_country_code,location_dome,location_elevation,location_grass,location_latitude,location_longitude,location_name,location_state,location_timezone,location_venue_id,location_year_constructed,location_zip,logo,logos,mascot,school,twitter
AND,,,AND,Anderson IN,iii,,Heartland,2023,4300,Anderson,US,False,,,40.1053196,-85.6802541,Macholtz Stadium,IN,,5793,,46016,http://a.espncdn.com/i/teamlogos/ncaa/500/2023.png,,Ravens,Anderson (IN),
AND,,,AND,Anderson (Sc),ii,,South Atlantic,129469,,,,,,,,,,,,,,,,,Trojans,Anderson (Sc),
ANG,,,ANG,Angelo State,ii,,Lone Star,2025,5670,San Angelo,US,False,,,31.4649685,-100.4405094,LeGrand Stadium at 1st Community Credit Union Field,TX,,5869,,76903,http://a.espncdn.com/i/teamlogos/ncaa/500/2025.png,,Rams,Angelo State,
ANN,,,ANN,Anna Maria,iii,,ECFC,15,1000,Paxton,US,False,,,42.3122967,-71.934172,Caparso Field,MA,,5794,,01612,http://a.espncdn.com/i/teamlogos/ncaa/500/15.png,,Amcats,Anna Maria College,
APPRE,,,APPRE,Apprentice,iii,,Independent DIII,3111,800,Newport News,US,False,,,36.9775016,-76.42977,Apprentice Field,VA,,3618,,23607,http://a.espncdn.com/i/teamlogos/ncaa/500/3111.png,,Builders,Apprentice School,
APP,#222222,Appalachian State,APP,App State,fbs,#ffcc00,Sun Belt,2026,30000,Boone,US,False,991.3414307,False,36.2114267,-81.6854278,Kidd Brewer Stadium,NC,America/New_York,3792,1962,28608,http://a.espncdn.com/i/teamlogos/ncaa/500/2026.png,,Mountaineers,App State,@AppState_FB
ARIZ,#ab0520,,ARIZ,Arizona,fbs,#0c234b,Big 12,12,50782,Tucson,US,False,742.1530151,False,32.2288054,-110.9488677,Arizona Stadium,AZ,America/Phoenix,3619,1928,85721,http://a.espncdn.com/i/teamlogos/ncaa/500/12.png,,Wildcats,Arizona,@ArizonaFBall
ASU,#ffc72c,,ASU,Arizona St,fbs,#8e0c3a,Big 12,9,65870,Tempe,US,False,360.1569519,True,33.4264471,-111.9325005,Mountain America Stadium,AZ,America/Phoenix,3947,1958,85287,http://a.espncdn.com/i/teamlogos/ncaa/500/9.png,,Sun Devils,Arizona State,@ASUFootball
ARK,#ffffff,,ARK,Arkansas,fbs,#a41f35,SEC,8,80000,Fayetteville,US,False,403.7972412,False,36.0680662,-94.1789534,Razorback Stadium,AR,America/Chicago,3887,1938,72702,http://a.espncdn.com/i/teamlogos/ncaa/500/8.png,,Razorbacks,Arkansas,@RazorbackFB
ARKMONT,,,ARKMONT,Ark-Monticello,ii,,Great American,2028,3650,Monticello,US,False,,,33.6293427,-91.7912327,Convoy Leslie Cotton Boll Stadium,AR,,5871,,26302,http://a.espncdn.com/i/teamlogos/ncaa/500/2028.png,,Boll Weevils,Arkansas-Monticello,
