conference,year,teamId,team,conferenceGames_games,conferenceGames_wins,conferenceGames_losses,conferenceGames_ties,homeGames_games,homeGames_wins,homeGames_losses,homeGames_ties,awayGames_games,awayGames_wins,awayGames_losses,awayGames_ties,total_games,total_wins,total_losses,total_ties
Big East,2000,218,Temple,7,1,6,0,6,2,4,0,5,2,3,0,11,4,7,0
Big East,2000,221,Pittsburgh,7,4,3,0,6,5,1,0,5,2,3,0,12,7,5,0
ACC,2000,228,Clemson,8,6,2,0,7,6,1,0,4,3,1,0,12,9,3,0
Conference USA,2000,235,Memphis,7,2,5,0,6,2,4,0,5,2,3,0,11,4,7,0
SEC,2000,238,Vanderbilt,8,1,7,0,6,1,5,0,5,2,3,0,11,3,8,0
Big 12,2000,239,Baylor,8,0,8,0,6,1,5,0,5,1,4,0,11,2,9,0
Western Athletic,2000,242,Rice,8,2,6,0,5,3,2,0,6,0,6,0,11,3,8,0
Big 12,2000,245,Texas A&M,8,5,3,0,6,4,2,0,5,3,2,0,12,7,5,0
Conference USA,2000,248,Houston,7,2,5,0,4,2,2,0,7,1,6,0,11,3,8,0
Big West,2000,249,North Texas,5,1,4,0,5,2,3,0,6,1,5,0,11,3,8,0
Big 12,2000,251,Texas,8,7,1,0,6,6,0,0,5,3,2,0,12,9,3,0
Mountain West,2000,252,BYU,7,4,3,0,6,4,2,0,6,2,4,0,12,6,6,0
Mountain West,2000,254,Utah,7,3,4,0,6,1,5,0,5,3,2,0,11,4,7,0
ACC,2000,258,Virginia,8,5,3,0,6,4,2,0,5,2,3,0,12,6,6,0
Big East,2000,259,Virginia Tech,7,6,1,0,6,6,0,0,5,4,1,0,12,11,1,0
Pac-10,2000,264,Washington,8,7,1,0,6,6,0,0,5,4,1,0,12,11,1,0
Pac-10,2000,265,Washington State,8,2,6,0,6,1,5,0,5,3,2,0,11,4,7,0
Big Ten,2000,275,Wisconsin,8,4,4,0,7,4,3,0,5,4,1,0,13,9,4,0
Mid-American,2000,276,Marshall,9,6,3,0,5,4,1,0,6,2,4,0,13,8,5,0
Big East,2000,277,West Virginia,7,3,4,0,7,4,3,0,4,2,2,0,12,7,5,0
Western Athletic,2000,278,Fresno State,8,6,2,0,5,5,0,0,6,2,4,0,12,7,5,0
FBS Independents,2000,309,Louisiana,3,1,2,0,5,0,5,0,6,1,5,0,11,1,10,0
Big West,2000,328,Utah State,5,4,1,0,5,3,2,0,6,2,4,0,11,5,6,0
SEC,2000,333,Alabama,8,3,5,0,6,3,3,0,5,0,5,0,11,3,8,0
SEC,2000,344,Mississippi State,8,4,4,0,5,4,1,0,6,3,3,0,12,8,4,0
Conference USA,2000,349,Army,7,1,6,0,5,1,4,0,6,0,6,0,11,1,10,0
Big Ten,2000,356,Illinois,8,2,6,0,6,4,2,0,5,1,4,0,11,5,6,0
Mountain West,2000,2005,Air Force,7,5,2,0,6,5,1,0,5,3,2,0,12,9,3,0
Mid-American,2000,2006,Akron,8,5,3,0,6,3,3,0,5,3,2,0,11,6,5,0
Big West,2000,2032,Arkansas State,5,1,4,0,5,1,4,0,6,0,6,0,11,1,10,0
Mid-American,2000,2050,Ball State,7,4,3,0,5,2,3,0,6,3,3,0,11,5,6,0
Mid-American,2000,2084,Buffalo,8,2,6,0,5,2,3,0,6,0,6,0,11,2,9,0
FBS Independents,2000,2116,UCF,2,2,0,0,5,4,1,0,6,3,3,0,11,7,4,0
Mid-American,2000,2117,Central Michigan,8,2,6,0,5,2,3,0,6,0,6,0,11,2,9,0
Conference USA,2000,2132,Cincinnati,7,5,2,0,6,6,0,0,5,1,4,0,12,7,5,0
Mid-American,2000,2199,Eastern Michigan,7,2,5,0,6,3,3,0,5,0,5,0,11,3,8,0
Big Ten,2000,2294,Iowa,8,3,5,0,6,2,4,0,6,1,5,0,12,3,9,0
Big 12,2000,2305,Kansas,8,2,6,0,6,3,3,0,5,1,4,0,11,4,7,0
Big 12,2000,2306,Kansas State,9,6,3,0,8,7,1,0,4,3,1,0,14,11,3,0
Mid-American,2000,2309,Kent State,8,1,7,0,5,0,5,0,6,1,5,0,11,1,10,0
FBS Independents,2000,2348,Louisiana Tech,4,2,2,0,4,2,2,0,8,1,7,0,12,3,9,0
Big East,2000,2390,Miami,7,7,0,0,6,6,0,0,5,4,1,0,12,11,1,0
FBS Independents,2000,2393,Middle Tennessee,5,5,0,0,5,5,0,0,6,1,5,0,11,6,5,0
FBS Independents,2000,2426,Navy,1,0,1,0,6,1,5,0,5,0,5,0,11,1,10,0
FBS Independents,2000,2433,UL Monroe,4,0,4,0,5,1,4,0,6,0,6,0,11,1,10,0
Mountain West,2000,2439,UNLV,7,4,3,0,5,5,0,0,7,2,5,0,13,8,5,0
Western Athletic,2000,2440,Nevada,8,1,7,0,5,1,4,0,7,1,6,0,12,2,10,0
