conference,year,teamId,team,conferenceGames_games,conferenceGames_wins,conferenceGames_losses,conferenceGames_ties,homeGames_games,homeGames_wins,homeGames_losses,homeGames_ties,awayGames_games,awayGames_wins,awayGames_losses,awayGames_ties,total_games,total_wins,total_losses,total_ties
Atlantic 10,2004,227,Rhode Island,7,1,6,0,6,2,4,0,2,1,1,0,11,4,7,0
Mountain West,2004,252,BYU,9,4,5,0,6,3,3,0,5,2,3,0,11,5,6,0
Sun Belt,2004,2433,UL Monroe,6,3,3,0,5,3,2,0,5,1,4,0,11,5,6,0
FCS Independents,2004,2506,Presbyterian,0,0,0,0,0,0,0,0,1,0,1,0,2,1,1,0
Big 12,2004,66,Iowa State,8,4,4,0,7,5,2,0,5,2,3,0,12,7,5,0
Mid-American,2004,2084,Buffalo,8,2,6,0,5,2,3,0,6,0,6,0,11,2,9,0
Patriot,2004,46,Georgetown,6,0,6,0,6,2,4,0,3,1,2,0,11,3,8,0
NEC,2004,399,UAlbany,7,4,3,0,0,0,0,0,2,1,1,0,11,4,7,0
Big Sky,2004,16,Sacramento State,7,2,5,0,5,3,2,0,4,0,4,0,11,3,8,0
Conference USA,2005,2655,Tulane,8,1,7,0,5,0,5,0,5,1,4,0,11,2,9,0
Big Sky,2005,304,Idaho State,7,3,4,0,5,4,1,0,5,1,4,0,11,5,6,0
MEAC,2005,47,Howard,7,1,6,0,3,1,2,0,5,1,4,0,9,3,6,0
NEC,2005,2619,Stony Brook,7,5,2,0,6,4,2,0,3,1,2,0,11,6,5,0
Big 12,2005,2306,Kansas State,8,2,6,0,6,4,2,0,5,1,4,0,11,5,6,0
Big Sky,2005,147,Montana State,7,5,2,0,6,6,0,0,4,1,3,0,11,7,4,0
Southern,2005,2747,Wofford,7,3,4,0,5,4,1,0,6,2,4,0,11,6,5,0
Western Athletic,2005,70,Idaho,8,2,6,0,4,1,3,0,7,1,6,0,11,2,9,0
Big Ten,2005,84,Indiana,8,1,7,0,6,3,3,0,5,1,4,0,11,4,7,0
Conference USA,2005,242,Rice,8,1,7,0,5,1,4,0,6,0,6,0,11,1,10,0
Pac-10,2005,265,Washington State,8,1,7,0,6,2,4,0,5,2,3,0,11,4,7,0
Pioneer,2005,2166,Davidson,6,2,4,0,5,2,3,0,4,2,2,0,10,4,6,0
ACC,2005,52,Florida State,9,6,3,0,8,6,2,0,5,2,3,0,13,8,5,0
OVC,2005,2630,UT Martin,8,4,4,0,5,4,1,0,4,1,3,0,10,5,5,0
Pioneer,2005,2413,Morehead State,7,5,2,0,5,3,2,0,4,2,2,0,12,8,4,0
FCS Independents,2005,2542,Savannah St,0,0,0,0,7,0,7,0,1,0,1,0,11,0,11,0
Conference USA,2005,151,East Carolina,8,4,4,0,5,3,2,0,6,2,4,0,11,5,6,0
Southern,2005,236,Chattanooga,7,3,4,0,5,3,2,0,6,3,3,0,11,6,5,0
MVFC,2005,98,Western Kentucky,7,4,3,0,5,3,2,0,6,3,3,0,11,6,5,0
Sun Belt,2005,2229,Florida International,7,3,4,0,4,3,1,0,7,2,5,0,11,5,6,0
MVFC,2005,282,Indiana State,7,0,7,0,6,0,6,0,5,0,5,0,11,0,11,0
Southland,2005,2534,Sam Houston,6,2,4,0,4,3,1,0,4,0,4,0,10,3,7,0
ACC,2005,152,NC State,8,3,5,0,8,5,3,0,4,2,2,0,12,7,5,0
SEC,2005,61,Georgia,9,7,2,0,7,5,2,0,6,5,1,0,13,10,3,0
Big East,2005,221,Pittsburgh,7,4,3,0,6,5,1,0,5,0,5,0,11,5,6,0
Mid-American,2005,193,Miami (OH),8,5,3,0,5,3,2,0,6,4,2,0,11,7,4,0
Big South,2005,2241,Gardner-Webb,4,2,2,0,7,3,4,0,4,2,2,0,11,5,6,0
SEC,2005,2,Auburn,8,7,1,0,8,6,2,0,4,3,1,0,12,9,3,0
Big East,2005,277,West Virginia,7,7,0,0,6,5,1,0,6,6,0,0,12,11,1,0
Southland,2005,2466,Northwestern State,6,3,3,0,5,3,2,0,4,2,2,0,10,5,5,0
Atlantic 10,2005,113,Massachusetts,7,5,2,0,0,0,0,0,3,1,2,0,10,6,4,0
ACC,2005,258,Virginia,8,3,5,0,6,5,1,0,6,2,4,0,12,7,5,0
MEAC,2005,2450,Norfolk State,7,2,5,0,5,2,3,0,4,2,2,0,9,4,5,0
Southland,2005,2377,McNeese,6,3,3,0,3,3,0,0,4,1,3,0,9,5,4,0
Big Ten,2005,275,Wisconsin,8,5,3,0,6,5,1,0,7,5,2,0,13,10,3,0
Mid-American,2005,2649,Toledo,8,6,2,0,5,4,1,0,7,5,2,0,12,9,3,0
Mountain West,2005,254,Utah,9,5,4,0,7,5,2,0,5,2,3,0,12,7,5,0
Patriot,2005,46,Georgetown,6,2,4,0,6,2,4,0,5,2,3,0,11,4,7,0
Big 12,2005,239,Baylor,8,2,6,0,4,1,3,0,6,3,3,0,11,5,6,0
Conference USA,2005,235,Memphis,8,5,3,0,6,4,2,0,6,3,3,0,12,7,5,0
Patriot,2005,322,Lafayette,6,5,1,0,7,4,3,0,5,4,1,0,12,8,4,0
MEAC,2005,2261,Hampton,7,7,0,0,5,4,1,0,3,3,0,0,10,9,1,0
Big 12,2005,251,Texas,9,9,0,0,7,7,0,0,6,6,0,0,13,13,0,0
Ivy,2005,171,Columbia,7,0,7,0,5,1,4,0,4,0,4,0,10,2,8,0
MVFC,2005,2623,Missouri State,7,2,5,0,5,4,1,0,4,0,4,0,10,4,6,0
Conference USA,2005,2572,Southern Miss,8,5,3,0,5,3,2,0,7,4,3,0,12,7,5,0
Metro Atlantic Athletic,2005,2184,Duquesne,4,4,0,0,4,4,0,0,4,1,3,0,10,7,3,0
Big South,2005,2678,VMI,4,2,2,0,6,2,4,0,4,1,3,0,11,3,8,0
Big Sky,2005,149,Montana,7,5,2,0,7,5,2,0,4,2,2,0,12,8,4,0
OVC,2005,93,Murray State,7,0,7,0,5,2,3,0,5,0,5,0,11,2,9,0
FBS Independents,2005,349,Army,0,0,0,0,7,2,5,0,4,2,2,0,11,4,7,0
SEC,2005,344,Mississippi State,8,1,7,0,6,2,4,0,5,1,4,0,11,3,8,0
Mid-American,2005,2117,Central Michigan,8,5,3,0,5,2,3,0,6,4,2,0,11,6,5,0
ACC,2005,2390,Miami,8,6,2,0,6,5,1,0,6,4,2,0,12,9,3,0
Pac-10,2005,12,Arizona,10,2,8,0,6,2,4,0,5,1,4,0,11,3,8,0
MEAC,2005,2169,Delaware State,7,5,2,0,4,4,0,0,4,0,4,0,9,5,4,0
MEAC,2005,50,Florida A&M,7,5,2,0,3,3,0,0,6,2,4,0,10,6,4,0
SWAC,2005,2016,Alcorn State,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
Southern,2005,2643,The Citadel,7,2,5,0,5,2,3,0,6,2,4,0,11,4,7,0
Big East,2005,164,Rutgers,7,4,3,0,6,3,3,0,5,3,2,0,12,7,5,0
Pioneer,2005,2168,Dayton,8,7,1,0,5,4,1,0,4,4,0,0,10,9,1,0
Conference USA,2005,276,Marshall,8,3,5,0,6,3,3,0,5,1,4,0,11,4,7,0
Big Sky,2005,2464,Northern Arizona,7,1,6,0,0,0,0,0,5,0,5,0,11,3,8,0
MEAC,2005,2569,South Carolina State,8,7,1,0,4,3,1,0,3,2,1,0,9,7,2,0
Great West,2005,13,Cal Poly,5,4,1,0,6,6,0,0,5,2,3,0,13,9,4,0
Big 12,2005,2305,Kansas,8,3,5,0,7,6,1,0,5,1,4,0,12,7,5,0
Sun Belt,2005,2653,Troy,7,3,4,0,5,3,2,0,6,1,5,0,11,4,7,0
Conference USA,2005,2638,UTEP,8,5,3,0,7,5,2,0,5,3,2,0,12,8,4,0
FBS Independents,2005,2426,Navy,0,0,0,0,7,5,2,0,5,3,2,0,12,8,4,0
Pioneer,2005,2086,Butler,6,0,6,0,6,0,6,0,3,0,3,0,11,0,11,0
OVC,2005,2546,Southeast Missouri State,8,2,6,0,0,0,0,0,6,0,6,0,11,2,9,0
OVC,2005,55,Jacksonville State,8,6,2,0,6,2,4,0,3,3,0,0,11,6,5,0
Sun Belt,2005,2433,UL Monroe,7,5,2,0,5,2,3,0,6,3,3,0,11,5,6,0
Conference USA,2005,2116,UCF,9,7,2,0,6,4,2,0,7,4,3,0,13,8,5,0
Ivy,2005,43,Yale,7,4,3,0,5,2,3,0,5,2,3,0,10,4,6,0
Atlantic 10,2005,311,Maine,8,3,5,0,5,3,2,0,3,0,3,0,11,5,6,0
ACC,2005,150,Duke,8,0,8,0,6,1,5,0,5,0,5,0,11,1,10,0
MEAC,2005,2448,North Carolina A&T,7,1,6,0,0,0,0,0,3,0,3,0,9,2,7,0
ACC,2005,59,Georgia Tech,8,5,3,0,6,4,2,0,6,3,3,0,12,7,5,0
Western Athletic,2005,2440,Nevada,8,7,1,0,6,5,1,0,6,4,2,0,12,9,3,0
Mid-American,2005,2711,Western Michigan,8,5,3,0,5,4,1,0,6,3,3,0,11,7,4,0
Western Athletic,2005,62,Hawai'i,8,4,4,0,7,3,4,0,5,2,3,0,12,5,7,0
SWAC,2005,2296,Jackson State,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Sun Belt,2005,2032,Arkansas State,7,5,2,0,6,4,2,0,5,1,4,0,12,6,6,0
Pac-10,2005,30,USC,8,8,0,0,6,6,0,0,7,6,1,0,13,12,1,0
Pac-10,2005,24,Stanford,8,4,4,0,6,1,5,0,5,4,1,0,11,5,6,0
OVC,2005,2634,Tennessee State,7,1,6,0,3,0,3,0,3,1,2,0,10,2,8,0
Pac-10,2005,25,California,10,6,4,0,7,5,2,0,5,3,2,0,12,8,4,0
Pioneer,2005,294,Jacksonville,5,3,2,0,0,0,0,0,2,1,1,0,8,4,4,0
Conference USA,2005,248,Houston,8,4,4,0,6,2,4,0,5,3,2,0,12,6,6,0
Mid-American,2005,2459,Northern Illinois,9,6,3,0,6,4,2,0,6,3,3,0,12,7,5,0
Southern,2005,2717,Western Carolina,7,4,3,0,5,4,1,0,4,1,3,0,9,5,4,0
Atlantic 10,2005,111,Northeastern,7,1,6,0,0,0,0,0,5,1,4,0,11,2,9,0
NEC,2005,399,UAlbany,7,4,3,0,0,0,0,0,2,1,1,0,11,5,6,0
SEC,2005,333,Alabama,8,6,2,0,8,7,1,0,4,3,1,0,12,10,2,0
OVC,2005,2635,Tennessee Tech,8,3,5,0,5,4,1,0,6,0,6,0,11,4,7,0
Big Ten,2005,194,Ohio State,9,8,1,0,8,7,1,0,4,3,1,0,12,10,2,0
Big Ten,2005,2509,Purdue,9,4,5,0,6,3,3,0,5,2,3,0,11,5,6,0
MEAC,2005,2065,Bethune-Cookman,8,4,4,0,3,1,2,0,3,2,1,0,9,5,4,0
Pac-10,2005,26,UCLA,10,8,2,0,7,7,0,0,5,3,2,0,12,10,2,0
OVC,2005,2535,Samford,8,4,4,0,4,3,1,0,5,1,4,0,10,4,6,0
Sun Belt,2005,2393,Middle Tennessee,7,3,4,0,5,1,4,0,6,3,3,0,11,4,7,0
Big Ten,2005,127,Michigan State,8,2,6,0,6,3,3,0,5,2,3,0,11,5,6,0
SEC,2005,2633,Tennessee,8,3,5,0,6,3,3,0,5,2,3,0,11,5,6,0
Great West,2005,253,Southern Utah,5,1,4,0,4,1,3,0,3,0,3,0,10,1,9,0
Western Athletic,2005,2348,Louisiana Tech,8,6,2,0,5,4,1,0,6,3,3,0,11,7,4,0
Western Athletic,2005,166,New Mexico State,8,0,8,0,6,0,6,0,6,0,6,0,12,0,12,0
OVC,2005,2197,Eastern Illinois,8,8,0,0,6,4,2,0,5,4,1,0,12,9,3,0
Mid-American,2005,189,Bowling Green,8,5,3,0,5,2,3,0,6,4,2,0,11,6,5,0
Ivy,2005,172,Cornell,7,4,3,0,5,4,1,0,5,2,3,0,10,6,4,0
MVFC,2005,2710,Western Illinois,7,3,4,0,6,3,3,0,5,2,3,0,11,5,6,0
Southland,2005,326,Texas State,6,5,1,0,0,0,0,0,4,2,2,0,13,11,2,0
Metro Atlantic Athletic,2005,2325,La Salle,4,2,2,0,0,0,0,0,3,0,3,0,11,4,7,0
Southland,2005,2545,SE Louisiana,6,2,4,0,4,2,2,0,4,1,3,0,10,4,6,0
Big East,2005,97,Louisville,7,5,2,0,6,6,0,0,6,3,3,0,12,9,3,0
Patriot,2005,2230,Fordham,6,2,4,0,0,0,0,0,6,0,6,0,12,2,10,0
Mid-American,2005,2199,Eastern Michigan,8,3,5,0,5,2,3,0,6,2,4,0,11,4,7,0
Big Sky,2005,2502,Portland State,7,4,3,0,0,0,0,0,6,1,5,0,11,6,5,0
Metro Atlantic Athletic,2005,2368,Marist,4,3,1,0,5,3,2,0,4,2,2,0,11,7,4,0
Sun Belt,2005,309,Louisiana,7,5,2,0,5,3,2,0,6,3,3,0,11,6,5,0
Patriot,2005,2329,Lehigh,6,4,2,0,5,3,2,0,4,4,0,0,11,8,3,0
Southland,2005,2617,Stephen F. Austin,6,1,5,0,6,4,2,0,4,1,3,0,11,5,6,0
Big Sky,2005,331,Eastern Washington,7,5,2,0,5,4,1,0,6,2,4,0,12,7,5,0
Pac-10,2005,9,Arizona State,9,5,4,0,7,4,3,0,5,3,2,0,12,7,5,0
Mid-American,2005,195,Ohio,8,3,5,0,5,3,2,0,6,1,5,0,11,4,7,0
Pac-10,2005,204,Oregon State,8,3,5,0,6,3,3,0,5,2,3,0,11,5,6,0
Pac-10,2005,2483,Oregon,8,7,1,0,6,5,1,0,6,5,1,0,12,10,2,0
Western Athletic,2005,328,Utah State,8,2,6,0,5,2,3,0,6,1,5,0,11,3,8,0
Mountain West,2005,2005,Air Force,9,4,5,0,6,3,3,0,5,1,4,0,11,4,7,0
Mountain West,2005,2751,Wyoming,8,2,6,0,5,2,3,0,6,2,4,0,11,4,7,0
SEC,2005,238,Vanderbilt,8,3,5,0,6,2,4,0,5,3,2,0,11,5,6,0
Big 12,2005,66,Iowa State,8,4,4,0,7,5,2,0,5,2,3,0,12,7,5,0
Mid-American,2005,2084,Buffalo,8,1,7,0,5,0,5,0,6,1,5,0,11,1,10,0
SEC,2005,145,Ole Miss,8,1,7,0,6,2,4,0,5,1,4,0,11,3,8,0
Big East,2005,58,South Florida,7,4,3,0,5,4,1,0,7,2,5,0,12,6,6,0
Big East,2005,41,UConn,7,2,5,0,6,4,2,0,5,1,4,0,11,5,6,0
FBS Independents,2005,87,Notre Dame,0,0,0,0,6,4,2,0,6,5,1,0,12,9,3,0
Ivy,2005,108,Harvard,7,5,2,0,5,3,2,0,5,4,1,0,10,7,3,0
NEC,2005,2598,St. Francis (PA),7,3,4,0,0,0,0,0,4,1,3,0,11,3,8,0
Sun Belt,2005,249,North Texas,7,2,5,0,5,0,5,0,6,2,4,0,11,2,9,0
Big 12,2005,245,Texas A&M,8,3,5,0,6,4,2,0,5,1,4,0,11,5,6,0
Atlantic 10,2005,119,Towson,7,3,4,0,6,4,2,0,4,2,2,0,11,7,4,0
MVFC,2005,2460,Northern Iowa,7,5,2,0,7,7,0,0,6,3,3,0,13,10,3,0
NEC,2005,2681,Wagner,7,3,4,0,6,3,3,0,2,0,2,0,11,6,5,0
NEC,2005,2405,Monmouth,7,4,3,0,0,0,0,0,4,2,2,0,10,6,4,0
SEC,2005,99,LSU,9,7,2,0,8,6,2,0,5,5,0,0,13,11,2,0
Big Ten,2005,135,Minnesota,9,5,4,0,7,4,3,0,5,3,2,0,12,7,5,0
SEC,2005,8,Arkansas,8,2,6,0,6,3,3,0,5,1,4,0,11,4,7,0
MVFC,2005,2287,Illinois State,7,4,3,0,6,4,2,0,4,2,2,0,11,7,4,0
Pioneer,2005,301,San Diego,5,5,0,0,8,8,0,0,3,2,1,0,12,11,1,0
Big East,2005,2132,Cincinnati,7,2,5,0,5,3,2,0,6,1,5,0,11,4,7,0
Mid-American,2005,2309,Kent State,8,0,8,0,5,1,4,0,6,0,6,0,11,1,10,0
OVC,2005,2198,Eastern Kentucky,8,7,1,0,5,4,1,0,6,3,3,0,11,7,4,0
Ivy,2005,159,Dartmouth,7,1,6,0,5,2,3,0,5,0,5,0,10,2,8,0
Southland,2005,2447,Nicholls,6,5,1,0,4,4,0,0,6,2,4,0,10,6,4,0
Mountain West,2005,252,BYU,9,5,4,0,6,3,3,0,6,3,3,0,12,6,6,0
SEC,2005,57,Florida,8,5,3,0,8,8,0,0,4,1,3,0,12,9,3,0
Big Ten,2005,2294,Iowa,8,5,3,0,6,5,1,0,6,2,4,0,12,7,5,0
Mountain West,2005,2439,UNLV,8,1,7,0,5,2,3,0,6,0,6,0,11,2,9,0
Western Athletic,2005,68,Boise State,8,7,1,0,6,6,0,0,7,3,4,0,13,9,4,0
Big 12,2005,38,Colorado,9,5,4,0,8,5,3,0,5,2,3,0,13,7,6,0
Ivy,2005,225,Brown,7,6,1,0,5,5,0,0,5,4,1,0,10,9,1,0
Mountain West,2005,36,Colorado State,9,5,4,0,5,4,1,0,7,2,5,0,12,6,6,0
Big 12,2005,201,Oklahoma,8,6,2,0,7,6,1,0,5,2,3,0,12,8,4,0
NEC,2005,2529,Sacred Heart,7,3,4,0,5,2,3,0,3,1,2,0,10,4,6,0
SEC,2005,96,Kentucky,8,2,6,0,6,2,4,0,5,1,4,0,11,3,8,0
Atlantic 10,2005,2275,Hofstra,8,5,3,0,0,0,0,0,2,1,1,0,12,8,4,0
Big Ten,2005,356,Illinois,9,0,9,0,6,2,4,0,5,0,5,0,11,2,9,0
Great West,2005,302,UC Davis,5,4,1,0,5,3,2,0,5,3,2,0,11,6,5,0
ACC,2005,259,Virginia Tech,9,7,2,0,7,6,1,0,6,5,1,0,13,11,2,0
Southern,2005,290,Georgia Southern,7,5,2,0,6,5,1,0,3,1,2,0,12,8,4,0
SWAC,2005,2400,Mississippi Valley State,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
ACC,2005,153,North Carolina,8,4,4,0,6,4,2,0,5,1,4,0,11,5,6,0
Mountain West,2005,21,San Diego State,10,4,6,0,6,3,3,0,6,2,4,0,12,5,7,0
Big Sky,2005,2692,Weber State,7,4,3,0,5,4,1,0,5,2,3,0,11,6,5,0
Patriot,2005,2142,Colgate,6,5,1,0,6,4,2,0,6,4,2,0,12,8,4,0
Ivy,2005,163,Princeton,7,5,2,0,5,3,2,0,5,4,1,0,10,7,3,0
Atlantic 10,2005,256,James Madison,8,5,3,0,6,5,1,0,2,1,1,0,11,7,4,0
Conference USA,2005,5,UAB,8,3,5,0,4,1,3,0,6,3,3,0,11,5,6,0
SWAC,2005,2755,Grambling,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
Big 12,2005,158,Nebraska,8,4,4,0,8,6,2,0,4,2,2,0,12,8,4,0
Pioneer,2005,2674,Valparaiso,7,1,6,0,5,0,5,0,3,1,2,0,11,3,8,0
Southern,2005,231,Furman,7,5,2,0,7,7,0,0,5,3,2,0,13,11,2,0
Southern,2005,2210,Elon,7,0,7,0,6,2,4,0,5,1,4,0,11,3,8,0
Western Athletic,2005,278,Fresno State,8,6,2,0,6,5,1,0,7,3,4,0,13,8,5,0
Big Ten,2005,213,Penn State,8,7,1,0,7,7,0,0,5,4,1,0,12,11,1,0
Big Ten,2005,77,Northwestern,10,5,5,0,6,4,2,0,6,3,3,0,12,7,5,0
Atlantic 10,2005,227,Rhode Island,7,2,5,0,5,2,3,0,5,2,3,0,10,4,6,0
Atlantic 10,2005,222,Villanova,8,2,6,0,5,3,2,0,4,1,3,0,11,4,7,0
Southern,2005,2026,App State,7,6,1,0,6,6,0,0,7,4,3,0,13,10,3,0
Metro Atlantic Athletic,2005,314,Iona,4,1,3,0,0,0,0,0,1,0,1,0,9,2,7,0
Big South,2005,2335,Liberty,4,0,4,0,6,1,5,0,4,0,4,0,11,1,10,0
FCS Independents,2005,2506,Presbyterian,0,0,0,0,0,0,0,0,1,0,1,0,2,1,1,0
ACC,2005,120,Maryland,8,3,5,0,5,1,4,0,6,4,2,0,11,5,6,0
Pioneer,2005,2046,Austin Peay,6,1,5,0,5,2,3,0,5,0,5,0,11,2,9,0
Big East,2005,183,Syracuse,7,0,7,0,6,1,5,0,5,0,5,0,11,1,10,0
Pioneer,2005,2181,Drake,6,4,2,0,4,3,1,0,5,2,3,0,10,6,4,0
Mountain West,2005,167,New Mexico,8,4,4,0,5,2,3,0,6,4,2,0,11,6,5,0
Metro Atlantic Athletic,2005,2612,St. Peter's,4,0,4,0,0,0,0,0,2,0,2,0,9,1,8,0
Mid-American,2005,2050,Ball State,8,4,4,0,4,1,3,0,7,3,4,0,11,4,7,0
MVFC,2005,2754,Youngstown State,7,5,2,0,6,6,0,0,4,2,2,0,11,8,3,0
Great West,2005,2449,North Dakota State,5,3,2,0,6,5,1,0,4,2,2,0,11,7,4,0
Atlantic 10,2005,257,Richmond,8,7,1,0,0,0,0,0,6,4,2,0,13,9,4,0
Big 12,2005,2641,Texas Tech,8,6,2,0,7,7,0,0,5,2,3,0,12,9,3,0
ACC,2005,154,Wake Forest,8,3,5,0,6,3,3,0,5,1,4,0,11,4,7,0
Big Ten,2005,130,Michigan,8,5,3,0,7,4,3,0,5,3,2,0,12,7,5,0
Conference USA,2005,2567,SMU,8,4,4,0,6,3,3,0,5,2,3,0,11,5,6,0
Big Sky,2005,16,Sacramento State,7,1,6,0,6,2,4,0,4,0,4,0,11,2,9,0
Western Athletic,2005,23,San José State,8,2,6,0,5,3,2,0,6,0,6,0,11,3,8,0
Pac-10,2005,264,Washington,9,1,8,0,6,1,5,0,5,1,4,0,11,2,9,0
Great West,2005,2571,South Dakota State,5,3,2,0,0,0,0,0,2,0,2,0,11,6,5,0
Big South,2005,2127,Charleston Southern,4,3,1,0,0,0,0,0,3,1,2,0,11,7,4,0
SEC,2005,2579,South Carolina,8,5,3,0,7,5,2,0,5,2,3,0,12,7,5,0
Atlantic 10,2005,160,New Hampshire,8,7,1,0,8,7,1,0,3,2,1,0,13,11,2,0
Mountain West,2005,2628,TCU,8,8,0,0,5,5,0,0,7,6,1,0,12,11,1,0
Mid-American,2005,2006,Akron,9,6,3,0,6,3,3,0,7,4,3,0,13,7,6,0
Atlantic 10,2005,48,Delaware,8,3,5,0,0,0,0,0,4,2,2,0,11,6,5,0
SWAC,2005,2640,Texas Southern,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0
NEC,2005,2115,Central Connecticut,7,5,2,0,5,4,1,0,5,3,2,0,11,7,4,0
Patriot,2005,107,Holy Cross,6,3,3,0,6,3,3,0,3,3,0,0,11,6,5,0
Sun Belt,2005,2226,Florida Atlantic,7,2,5,0,5,1,4,0,6,1,5,0,11,2,9,0
Ivy,2005,219,Pennsylvania,7,3,4,0,5,3,2,0,5,2,3,0,10,5,5,0
ACC,2005,228,Clemson,8,4,4,0,6,4,2,0,6,4,2,0,12,8,4,0
Big 12,2005,142,Missouri,8,4,4,0,7,5,2,0,5,2,3,0,12,7,5,0
ACC,2005,103,Boston College,8,5,3,0,7,6,1,0,5,3,2,0,12,9,3,0
Patriot,2005,2083,Bucknell,6,0,6,0,5,1,4,0,5,0,5,0,11,1,10,0
NEC,2005,2523,Robert Morris,7,1,6,0,5,2,3,0,2,0,2,0,10,2,8,0
FBS Independents,2005,218,Temple,0,0,0,0,5,0,5,0,6,0,6,0,11,0,11,0
Big South,2005,324,Coastal Carolina,4,3,1,0,5,5,0,0,5,4,1,0,11,9,2,0
Conference USA,2005,202,Tulsa,9,7,2,0,6,4,2,0,7,5,2,0,13,9,4,0
Atlantic 10,2005,2729,William & Mary,8,3,5,0,5,3,2,0,4,1,3,0,12,5,7,0
Great West,2005,2458,Northern Colorado,5,0,5,0,5,4,1,0,4,0,4,0,11,4,7,0
Big 12,2005,197,Oklahoma State,8,1,7,0,6,3,3,0,5,1,4,0,11,4,7,0
MVFC,2005,79,Southern Illinois,7,5,2,0,0,0,0,0,7,4,3,0,13,9,4,0
MEAC,2005,2415,Morgan State,8,1,7,0,3,1,2,0,4,0,4,0,10,2,8,0
Mid-American,2006,193,Miami (OH),8,2,6,0,5,0,5,0,7,2,5,0,12,2,10,0
Ivy,2006,108,Harvard,6,4,2,0,5,4,1,0,4,3,1,0,9,7,2,0
Pioneer,2006,2166,Davidson,7,5,2,0,5,3,2,0,4,2,2,0,10,6,4,0
Pioneer,2006,294,Jacksonville,7,4,3,0,0,0,0,0,5,3,2,0,10,4,6,0
Big 12,2006,2641,Texas Tech,8,4,4,0,6,4,2,0,7,4,3,0,13,8,5,0
MVFC,2006,98,Western Kentucky,7,4,3,0,6,4,2,0,4,1,3,0,11,6,5,0
Mid-American,2006,2006,Akron,8,3,5,0,5,4,1,0,7,1,6,0,12,5,7,0
Big 12,2006,197,Oklahoma State,8,3,5,0,6,4,2,0,7,3,4,0,13,7,6,0
Western Athletic,2006,68,Boise State,8,8,0,0,6,6,0,0,7,7,0,0,13,13,0,0
ACC,2006,150,Duke,8,0,8,0,7,0,7,0,5,0,5,0,12,0,12,0
Western Athletic,2006,2440,Nevada,8,5,3,0,7,5,2,0,6,3,3,0,13,8,5,0
ACC,2006,59,Georgia Tech,9,7,2,0,8,6,2,0,6,3,3,0,14,9,5,0
Mountain West,2006,2628,TCU,8,6,2,0,7,6,1,0,6,5,1,0,13,11,2,0
SEC,2006,96,Kentucky,8,4,4,0,8,7,1,0,5,1,4,0,13,8,5,0
Big 12,2006,66,Iowa State,8,1,7,0,7,4,3,0,5,0,5,0,12,4,8,0
Great West,2006,13,Cal Poly,0,0,0,0,1,1,0,0,5,3,2,0,6,4,2,0
SEC,2006,99,LSU,8,6,2,0,9,9,0,0,4,2,2,0,13,11,2,0
ACC,2006,259,Virginia Tech,8,6,2,0,9,7,2,0,4,3,1,0,13,10,3,0
Big Ten,2006,194,Ohio State,8,8,0,0,8,7,1,0,5,5,0,0,13,12,1,0
MEAC,2006,2415,Morgan State,8,4,4,0,4,2,2,0,4,2,2,0,11,5,6,0
ACC,2006,52,Florida State,8,3,5,0,8,4,4,0,5,3,2,0,13,7,6,0
Pac-10,2006,30,USC,10,8,2,0,6,6,0,0,7,5,2,0,13,11,2,0
Southland,2006,2466,Northwestern State,6,2,4,0,5,3,2,0,5,1,4,0,11,4,7,0
Atlantic 10,2006,311,Maine,8,5,3,0,5,4,1,0,5,2,3,0,12,6,6,0
Conference USA,2006,151,East Carolina,8,5,3,0,7,4,3,0,6,3,3,0,13,7,6,0
Southland,2006,2377,McNeese,6,5,1,0,6,4,2,0,6,3,3,0,12,7,5,0
MVFC,2006,2460,Northern Iowa,7,5,2,0,6,4,2,0,4,3,1,0,11,7,4,0
Big 12,2006,239,Baylor,8,3,5,0,6,2,4,0,5,1,4,0,12,4,8,0
Big Sky,2006,16,Sacramento State,8,4,4,0,5,2,3,0,6,2,4,0,11,4,7,0
OVC,2006,2535,Samford,8,1,7,0,6,2,4,0,4,1,3,0,11,3,8,0
Metro Atlantic Athletic,2006,2325,La Salle,3,1,2,0,0,0,0,0,0,0,0,0,8,2,6,0
Big Ten,2006,77,Northwestern,8,2,6,0,6,2,4,0,6,2,4,0,12,4,8,0
Mountain West,2006,2751,Wyoming,8,5,3,0,6,4,2,0,6,2,4,0,12,6,6,0
Big 12,2006,251,Texas,8,6,2,0,7,5,2,0,6,5,1,0,13,10,3,0
Big East,2006,183,Syracuse,7,1,6,0,6,3,3,0,6,1,5,0,12,4,8,0
Sun Belt,2006,2229,Florida International,7,0,7,0,5,0,5,0,7,0,7,0,12,0,12,0
Big East,2006,277,West Virginia,7,5,2,0,8,7,1,0,5,4,1,0,13,11,2,0
Conference USA,2006,2567,SMU,8,4,4,0,6,5,1,0,6,1,5,0,12,6,6,0
Western Athletic,2006,23,San José State,8,5,3,0,8,7,1,0,5,2,3,0,13,9,4,0
